LineID,SeqId,Long,Lat
1,1,-73.9928305,40.7683808
1,2,-73.9899766,40.7671464
1,3,-73.9871228,40.7659769
1,4,-73.9842582,40.76481
1,5,-73.9814365,40.7635674
1,6,-73.9786184,40.7623789
1,7,-73.9753854,40.7610414
1,8,-73.9721811,40.7597094
1,9,-73.9689481,40.7583258
1,10,-73.9667022,40.7573718
1,11,-73.9643276,40.7563845
2,1,-73.993696,40.767133
2,2,-73.9908636,40.7659391
2,3,-73.9880168,40.7647506
2,4,-73.9852023,40.7635567
2,5,-73.9823771,40.7623411
2,6,-73.979491,40.761139
2,7,-73.9763188,40.759788
2,8,-73.973093,40.7584532
2,9,-73.9698493,40.7570886
2,10,-73.9676195,40.7561339
2,11,-73.9652431,40.7551283
3,1,-73.9946294,40.7658729
3,2,-73.991797,40.764679
3,3,-73.9889431,40.7634769
3,4,-73.9860892,40.7622668
3,5,-73.9832354,40.7610647
3,6,-73.9804173,40.7598978
3,7,-73.9771557,40.7585305
3,8,-73.9740443,40.7571984
3,9,-73.9707506,40.7558229
3,10,-73.9685261,40.754868
3,11,-73.9661407,40.7538598
4,1,-73.995502,40.7646223
4,2,-73.992691,40.763404
4,3,-73.9898765,40.762229
4,4,-73.9870083,40.761027
4,5,-73.9841545,40.7598086
4,6,-73.9813113,40.75862
4,7,-73.9781141,40.7572635
4,8,-73.9749169,40.7559476
4,9,-73.9716768,40.7545478
4,10,-73.9694291,40.7536238
4,11,-73.9671063,40.7526551
5,1,-73.9964604,40.7633468
5,2,-73.9936066,40.7621447
5,3,-73.9907634,40.7609589
5,4,-73.9879239,40.7597568
5,5,-73.9850986,40.7585709
5,6,-73.9822555,40.757385
5,7,-73.9790261,40.7560393
5,8,-73.9758146,40.7546665
5,9,-73.9725888,40.7533208
5,10,-73.9703375,40.7523661
5,11,-73.9679968,40.751363
6,1,-73.9973545,40.7621106
6,2,-73.9945328,40.7609085
6,3,-73.9916825,40.7597145
6,4,-73.9888358,40.7585259
6,5,-73.986007,40.7573292
6,6,-73.9831567,40.7561324
6,7,-73.9799666,40.7547624
6,8,-73.9776742,40.7521521
6,9,-73.97349,40.7520546
6,10,-73.9712709,40.7511286
6,11,-73.968848,40.7501212
7,1,-73.9982808,40.7608074
7,2,-73.9954627,40.7596324
7,3,-73.9926624,40.7584221
7,4,-73.9897656,40.7572091
7,5,-73.9869511,40.7560178
7,6,-73.9840758,40.75484
7,7,-73.9808714,40.7534807
7,8,-73.9776993,40.7521241
7,9,-73.9744413,40.7507404
7,10,-73.9721936,40.7498316
7,11,-73.9697993,40.7488422
8,1,-73.9992321,40.7595257
8,2,-73.9964318,40.7583561
8,3,-73.9935958,40.7571566
8,4,-73.9907277,40.7559436
8,5,-73.9878953,40.7547604
8,6,-73.9850199,40.7535338
8,7,-73.9818227,40.7522259
8,8,-73.9786112,40.7508341
8,9,-73.9753926,40.749491
8,10,-73.9731646,40.7485399
8,11,-73.9707935,40.7475521
9,1,-74.0001404,40.7582962
9,2,-73.9973295,40.757086
9,3,-73.9944828,40.7559054
9,4,-73.9916289,40.7547114
9,5,-73.9887822,40.7535037
9,6,-73.9859211,40.752315
9,7,-73.9827383,40.7509665
9,8,-73.9795339,40.7496153
9,9,-73.9763045,40.7482505
9,10,-73.9740729,40.7472969
9,11,-73.9716518,40.7462818
10,1,-74.0010166,40.7570504
10,2,-73.9981949,40.7558726
10,3,-73.9953625,40.7546704
10,4,-73.9925301,40.7534736
10,5,-73.9896691,40.752293
10,6,-73.9867973,40.7510853
10,7,-73.9836323,40.7497206
10,8,-73.9804137,40.7483612
10,9,-73.9771628,40.7470099
10,10,-73.9749813,40.7460892
10,11,-73.972578,40.7450683
