Long,Lat
-73.9909458,40.7709521
-73.9918685,40.7695715
-73.9928126,40.7683046
-73.9937139,40.7670864
-73.9945722,40.7658357
-73.9955306,40.7645687
-73.9964104,40.7633341
-73.9973116,40.7620671
-73.9982557,40.7608109
-73.9991963,40.759531
-74.0000904,40.7583072
-74.0010166,40.7570509
-74.0019894,40.7557566
-73.9991462,40.7545842
-73.9981806,40.7558433
-73.9973044,40.7570725
-73.9964139,40.7583234
-73.9954412,40.759596
-73.9945292,40.760928
-73.9935672,40.7621978
-73.9926982,40.7634134
-73.9917862,40.764675
-73.9908278,40.7659204
-73.9899623,40.7671846
-73.9890254,40.7684326
-73.9880204,40.7697862
-73.9852023,40.7685707
-73.9862001,40.7672307
-73.9871264,40.7659691
-73.9880097,40.76474
-73.9889216,40.7634811
-73.9898372,40.7622411
-73.9907491,40.7609741
-73.991636,40.7597205
-73.9926338,40.7584128
-73.9935529,40.757143
-73.9944971,40.7559083
-73.9953625,40.7546817
-73.9962745,40.7534064
-73.9934456,40.7521771
-73.992523,40.753493
-73.9916289,40.7546953
-73.9907062,40.7559218
-73.9897943,40.7572133
-73.9888501,40.7585292
-73.9879382,40.7597855
-73.9870262,40.761012
-73.9860821,40.7623034
-73.9851916,40.7635217
-73.9842618,40.7647833
-73.9833713,40.7660178
-73.982352,40.7673823
-73.9795125,40.7661992
-73.9805317,40.7648104
-73.9814436,40.7635759
-73.9823484,40.7623305
-73.9832532,40.7610878
-73.9841437,40.7598288
-73.985045,40.7585915
-73.9859891,40.7573325
-73.9869511,40.756041
-73.9878523,40.7547494
-73.9887786,40.7534903
-73.9896798,40.7522637
-73.9906132,40.7510073
-73.9877057,40.7497725
-73.9867902,40.7510669
-73.9858997,40.7523097
-73.9850414,40.7535364
-73.9841151,40.7548442
-73.9831603,40.7561276
-73.9822447,40.757365
-73.9813435,40.7586159
-73.9804137,40.7598965
-73.979491,40.761123
-73.9785934,40.7623738
-73.9776814,40.7636327
-73.9766872,40.7649945
-73.9734614,40.7636408
-73.9744699,40.7622601
-73.9753604,40.7610499
-73.9762366,40.7598017
-73.9772129,40.7585346
-73.9781177,40.7572973
-73.9789975,40.7559976
-73.979938,40.7547575
-73.9808714,40.7534659
-73.9818192,40.7522014
-73.9827096,40.7509748
-73.9836073,40.7497183
-73.9845729,40.7484348
-73.9813435,40.7470808
-73.9803779,40.7483644
-73.9795053,40.7495911
-73.9786148,40.7508421
-73.9777637,40.7521716
-73.9757895,40.7546817
-73.9748919,40.7559435
-73.9739692,40.7571457
-73.9731038,40.7584588
-73.9721453,40.7596772
-73.9712548,40.7609362
-73.9702463,40.7622926
-73.9670563,40.7609253
-73.9680469,40.7595879
-73.9689374,40.7583045
-73.9698493,40.7570617
-73.9708078,40.7558433
-73.9716768,40.754568
-73.9725816,40.7533414
-73.9735043,40.752066
-73.974427,40.7507582
-73.9754069,40.7495071
-73.9762759,40.7482398
-73.9772236,40.7470158
-73.9781034,40.7457403
-73.9735186,40.7437932
-73.9725637,40.7450769
-73.971684,40.7462955
-73.9707828,40.7475628
-73.969903,40.7488301
-73.968873,40.7501218
-73.9679503,40.7513566
-73.9670813,40.7526401
-73.9661264,40.7538829
-73.9652109,40.7551258
-73.9643312,40.7563902
-73.963412,40.7576493
-73.9624,40.7589949
-73.9758825, 40.7447629
-73.9749813, 40.7460140
-73.9741230, 40.7472651
-73.9731145, 40.7485325
-73.9722204, 40.7498268
-73.9712763, 40.7511104
-73.9703321, 40.7523397
-73.9694309, 40.7536394
-73.9685082, 40.7548687
-73.9676213, 40.7561142
-73.9666700, 40.7573652
-73.9658332, 40.7586160
-73.9648962, 40.7599806
-73.9686298, 40.7615726
-73.9696169, 40.7602405
-73.9704967, 40.7589734
-73.9714193, 40.7577063
-73.9723635, 40.7565204
-73.9732647, 40.7552370
-73.9741516, 40.7539643
-73.9751172, 40.7527134
-73.9759970, 40.7514299
-73.9769554, 40.7501680
-73.9778781, 40.7489332
-73.9787793, 40.7476659
-73.9797449, 40.7463986
-73.9829636, 40.7477309
-73.9820194, 40.7490307
-73.9811182, 40.7502655
-73.9801741, 40.7515003
-73.9792514, 40.7528000
-73.9783502, 40.7540997
-73.9773846, 40.7553344
-73.9764762, 40.7566124
-73.9755535, 40.7578471
-73.9746523, 40.7590817
-73.9737582, 40.7603543
-73.9728570, 40.7616213
-73.9718342, 40.7629425
