line_id,osm_id,seq
1,42444353,1
1,246858654,2
1,6859615817,3
1,42445286,4
1,42445291,5
1,246858445,6
1,4207143422,7
1,4207143435,8
1,42448570,9
1,42452936,10
2,42444353,1
2,246858654,2
2,6859615817,3
2,42445286,4
2,42445291,5
2,246858445,6
2,42445171,7
2,42436359,8
2,42436374,9
2,42431517,10
2,42452936,11
3,42444353,1
3,246858654,2
3,6859615817,3
3,42445286,4
3,42445291,5
3,246858445,6
3,42445171,7
3,42436359,8
3,42436374,9
3,42436384,10
3,42431789,11
3,42452936,12
4,42444353,1
4,42436181,2
4,6552385860,3
4,42453952,4
4,42431614,5
4,4207150079,6
4,3567807957,7
4,42432135,8
4,42442269,9
4,42452936,10
5,42444353,1
5,246858654,2
5,6859615817,3
5,42445286,4
5,42445291,5
5,246858445,6
5,42445171,7
5,42436359,8
5,42436374,9
5,42436384,10
5,42457728,11
5,42432194,12
5,42430253,13
5,42432548,14
6,42444353,1
6,42436181,2
6,6552385860,3
6,42453952,4
6,4754091366,5
6,42445466,6
6,42427319,7
6,42452056,8
6,42437113,9
6,42452936,10
7,42444353,1
7,42431902,2
7,42421951,3
7,42440356,4
7,42438476,5
7,42437135,6
7,42437466,7
7,5706568658,8
7,42445617,9
7,42452936,10
8,42444353,1
8,42436181,2
8,6552385860,3
8,42453952,4
8,42431614,5
8,4207150079,6
8,42433573,7
8,42432161,8
8,42445498,9
8,1692433919,10
8,42431168,11
8,42434140,12
8,42452936,13
9,42444353,1
9,42436181,2
9,6552385860,3
9,42453952,4
9,42431614,5
9,4207150079,6
9,42433573,7
9,42432161,8
9,42445498,9
9,1692433919,10
9,42428468,11
9,42453104,12
9,42432548,13
10,42444353,1
10,42436181,2
10,6552385860,3
10,42453952,4
10,4754091366,5
10,42445466,6
10,42427319,7
10,42452056,8
10,42432111,9
10,4215624276,10
10,42432071,11
10,42452936,12
11,42444353,1
11,42436181,2
11,6552385860,3
11,42453952,4
11,42431614,5
11,4207150079,6
11,42433573,7
11,42432161,8
11,42445498,9
11,1918039864,10
11,4886404633,11
11,8841425139,12
11,42452936,13
12,42444353,1
12,42431902,2
12,42421951,3
12,42440356,4
12,42438476,5
12,42437135,6
12,42437466,7
12,42443928,8
12,588455697,9
12,42432000,10
12,42452936,11
13,42444353,1
13,42431902,2
13,42421951,3
13,42440356,4
13,42438476,5
13,42437135,6
13,42437466,7
13,4487582556,8
13,42440408,9
13,3630219668,10
13,42427346,11
13,42452936,12
14,42444353,1
14,42431902,2
14,42421951,3
14,42440356,4
14,42438476,5
14,42437135,6
14,42437466,7
14,42443928,8
14,588455697,9
14,42423303,10
14,42452936,11
15,42444353,1
15,42431902,2
15,42421951,3
15,42440356,4
15,42438476,5
15,42437135,6
15,42437466,7
15,42443928,8
15,588455697,9
15,370888101,10
15,7499043385,11
15,42452936,12
