num_lines,num_scen,demand_hor,max_dev,max_walk,fleet_size,capacity,num_oos,K,trial_id
5,5,3600,300,250,5,5,5,0,1
5,5,3600,300,250,5,10,5,0,2
5,5,3600,300,250,5,20,5,0,3
5,5,3600,300,250,10,5,5,0,4
5,5,3600,300,250,10,10,5,0,5
5,5,3600,300,250,10,20,5,0,6
5,5,7200,300,250,5,5,5,0,7
5,5,7200,300,250,5,10,5,0,8
5,5,7200,300,250,5,20,5,0,9
5,5,7200,300,250,10,5,5,0,10
5,5,7200,300,250,10,10,5,0,11
5,5,7200,300,250,10,20,5,0,12
5,5,10800,300,250,5,5,5,0,13
5,5,10800,300,250,5,10,5,0,14
5,5,10800,300,250,5,20,5,0,15
5,5,10800,300,250,10,5,5,0,16
5,5,10800,300,250,10,10,5,0,17
5,5,10800,300,250,10,20,5,0,18
5,10,3600,300,250,5,5,5,0,19
5,10,3600,300,250,5,10,5,0,20
5,10,3600,300,250,5,20,5,0,21
5,10,3600,300,250,10,5,5,0,22
5,10,3600,300,250,10,10,5,0,23
5,10,3600,300,250,10,20,5,0,24
5,10,7200,300,250,5,5,5,0,25
5,10,7200,300,250,5,10,5,0,26
5,10,7200,300,250,5,20,5,0,27
5,10,7200,300,250,10,5,5,0,28
5,10,7200,300,250,10,10,5,0,29
5,10,7200,300,250,10,20,5,0,30
5,10,10800,300,250,5,5,5,0,31
5,10,10800,300,250,5,10,5,0,32
5,10,10800,300,250,5,20,5,0,33
5,10,10800,300,250,10,5,5,0,34
5,10,10800,300,250,10,10,5,0,35
5,10,10800,300,250,10,20,5,0,36
10,5,3600,300,250,5,5,5,0,37
10,5,3600,300,250,5,10,5,0,38
10,5,3600,300,250,5,20,5,0,39
10,5,3600,300,250,10,5,5,0,40
10,5,3600,300,250,10,10,5,0,41
10,5,3600,300,250,10,20,5,0,42
10,5,7200,300,250,5,5,5,0,43
10,5,7200,300,250,5,10,5,0,44
10,5,7200,300,250,5,20,5,0,45
10,5,7200,300,250,10,5,5,0,46
10,5,7200,300,250,10,10,5,0,47
10,5,7200,300,250,10,20,5,0,48
10,5,10800,300,250,5,5,5,0,49
10,5,10800,300,250,5,10,5,0,50
10,5,10800,300,250,5,20,5,0,51
10,5,10800,300,250,10,5,5,0,52
10,5,10800,300,250,10,10,5,0,53
10,5,10800,300,250,10,20,5,0,54
10,10,3600,300,250,5,5,5,0,55
10,10,3600,300,250,5,10,5,0,56
10,10,3600,300,250,5,20,5,0,57
10,10,3600,300,250,10,5,5,0,58
10,10,3600,300,250,10,10,5,0,59
10,10,3600,300,250,10,20,5,0,60
10,10,7200,300,250,5,5,5,0,61
10,10,7200,300,250,5,10,5,0,62
10,10,7200,300,250,5,20,5,0,63
10,10,7200,300,250,10,5,5,0,64
10,10,7200,300,250,10,10,5,0,65
10,10,7200,300,250,10,20,5,0,66
10,10,10800,300,250,5,5,5,0,67
10,10,10800,300,250,5,10,5,0,68
10,10,10800,300,250,5,20,5,0,69
10,10,10800,300,250,10,5,5,0,70
10,10,10800,300,250,10,10,5,0,71
10,10,10800,300,250,10,20,5,0,72
